feature,fairly_valued,overvalued,undervalued
BORO_CODE,0.030057414233111986,-0.013102774694511606,0.10660980351401661
BLDG_CLASS_CODE,-0.003095261772446605,-0.05002960959852919,0.5767842810116919
ZIP_CODE_CODE,0.11720906660418245,-0.09021044160338418,-0.20358529771562509
ZONING_CODE,0.027736940946239023,0.3640217562999837,-0.11820785202402383
LOG_GROSS_SQFT,-0.7481026024487393,5.868816212537457,-4.45837749705906
LOG_LAND_AREA,0.3029216761897563,0.1689967457786393,-0.04228787810699177
NUM_BLDGS,0.0005836256912386099,0.008359219212801559,-0.25302733437723407
UNITS,-0.011514615366106026,0.2850697674686507,-0.3485300851358175
COOP_APTS,0.0885042465469245,0.011056616837513016,0.4082972890136299
BLD_STORY,0.03627853698701613,-0.21237285327955943,0.37321944626314674
LOT_FRT,0.026346962100967708,-0.0010574032006953442,0.17498114844573545
LOT_DEP,-0.13133207306892966,0.1391982173790351,0.04652698492233064
LOT_AREA,-0.47694132125860955,0.22259263257185302,0.04090986060123421
BUILDING_AGE,-0.3708598007400754,0.32591460943930123,-0.09994833392000836
BUILDING_ERA,-0.29583475783202573,0.11572591659595434,0.21848989244714326
SQFT_PER_UNIT,0.08762707822288884,-0.11521297220989811,0.12975178962867415
COVERAGE_RATIO,0.07139845116435999,-0.15826664161862625,-0.35957800188093125
LOG_PYACTTOT,0.382347436011365,-9.39473041421399,4.991977302158759
LOG_ASSESS_PER_SQFT,-0.5764498293341057,5.909802403663833,-5.343434017763903
LAND_TO_TOTAL,-0.17484578844465656,-3.6936652592157295,2.8496932778454753
MKT_TO_ASSESS,-0.2840681863597775,-0.04331465830207662,-0.7045459036581021
LOG_MKT_TO_ASSESS,-0.2882499395896613,-0.044042783105611855,-0.7018990297318547
ASSESS_TREND,0.17366889377524497,-0.3505357232422747,0.6653762673792762
LAND_TREND,-0.22394609381852612,-0.7729331168941085,-0.4713689331025041
MKT_TREND,-0.16329204781431444,1.7941353105494577,-0.5502323369740316
ASSESS_VOLATILITY,-0.32358133783101,0.5963670338193897,-0.12102051852162664
LAND_VOLATILITY,-0.24883112495440257,-1.3699949875635988,1.7699930763606475
MKT_VOLATILITY,-0.034145925040235746,-0.8339712677905008,1.2423017524547812
ASSESS_AT_CAP,-0.19529069583266145,0.12832050694212385,0.09380008789209876
LAND_RATIO_TREND,0.06647775668910658,0.24899105957076623,-0.7079338331533641
MKT_RATIO_TREND,-0.11205902952502031,1.0564056470773693,-1.3280085817976497
PSQFT_TREND,-0.1289227341826894,-0.2696091526565421,-0.004937237928340585
CONSISTENT_OVERVALUED,-0.1895708997010242,3.042581181019863,-2.9374539251849994
CONSISTENT_UNDERVALUED,-0.20249011862267424,1.5740840145025436,-2.0954119072565818
CONSISTENT_FAIR,-0.034854256799591865,3.1188968101072367,-2.916930408992471
overvalued_2020,0.24591402222609704,2.1510554699344357,-2.0569078154854887
