feature,fairly_valued,overvalued,undervalued
BORO_CODE,0.019430326546006686,0.0003970141176256315,-0.026460742175569485
BLDG_CLASS_CODE,-0.000411169254075675,-0.015331997019297366,0.015233111625396733
ZIP_CODE_CODE,-0.017495905443012515,0.015891376595373072,0.010567992147699795
ZONING_CODE,-0.007908983927400437,0.002266678253590211,0.007493502192006432
LOG_GROSS_SQFT,-0.010413163420326565,-0.01054640327667484,0.036005499293626106
LOG_LAND_AREA,-0.0042005731516881716,-0.0004992916446320333,0.003298111249552772
NUM_BLDGS,-0.0019300411138046141,0.0076855247604899575,-0.003843603749139914
UNITS,0.002588162032961367,-0.0005920572317899731,-0.007473071555379157
COOP_APTS,0.0031160222071102916,-0.00010656178251651889,-0.009415265071804279
BLD_STORY,0.009347441071763229,-0.002418771520480981,-0.012144257467969244
LOT_AREA,-0.0008536435141655092,0.00026576814096474546,0.0008273232260259348
SQFT_PER_UNIT,0.005292284525269503,-0.00240095665799943,-0.005226069644860243
COVERAGE_RATIO,0.005142599466123874,-0.004752548291938843,0.0009632610856706476
BUILDING_AGE,-0.0012754833151158423,-0.0029522406534056985,0.005005273238289662
BUILDING_ERA,0.0012865871534931304,-0.0019855336792149766,-0.0010158944560654465
LOG_PYACTTOT,-0.0007314122201743308,-0.004931113017408971,0.005908334467117861
ASSESS_PER_SQFT,-0.0002158483747166344,0.00046111833889627514,-0.0002862601845016892
LOG_ASSESS_PER_SQFT,0.007829007440840322,0.023518303489621098,-0.04207014789155365
LAND_TO_TOTAL,-0.008208198511050348,-0.027154559800309525,0.039982996693918985
MKT_TO_ASSESS,0.003076734787484853,0.008278711782874766,-0.012816047253614009
LOG_MKT_TO_ASSESS,0.0034555804141600693,0.005718583269470895,-0.01154742372764964
ASSESS_TREND,0.001588920177594603,0.0036679648998961785,-0.0059083321110346785
ASSESS_VOLATILITY,-0.0013132940090366846,-0.014750336258363514,0.017389985621229426
CONSISTENT_OVERVALUED,-0.04274714319984909,0.08818033434866401,-0.04976706363791583
CONSISTENT_UNDERVALUED,-0.04157862793941271,-0.04866417768070867,0.08520926875559612
CONSISTENT_FAIR,0.07950080199006972,-0.03994439630872706,-0.03391445861358608
DOMINANT_CLASS,-0.021078978425784173,0.008409768445058509,0.01754427523904529
ASSESS_AT_CAP,-0.0038769770048516427,-0.0019409843119558672,0.002327727817877691
MKT_TREND,0.0004310656379329877,0.0043393270584911395,-0.00541290193035545
MKT_VS_ASSESS_TREND_SPREAD,-0.007406570331833878,0.0039434201260215365,0.0035692312320197705
ZIP_MEAN_ASSESS,7.078650056404015e-05,-0.0023679132178345457,0.00201028424570324
ZIP_MEDIAN_ASSESS,-0.0010565027712310159,-0.0035403073854727474,0.004638635988487738
ZIP_ASSESS_STD,-0.0001231065009307713,0.008197940859641087,-0.00911541341676261
ASSESS_VS_ZIP_MEDIAN,-0.010110604018293974,0.01321955370130124,0.0008252890671725487
