feature,fairly_valued,overvalued,undervalued
BORO_CODE,0.007960670554651482,0.003117399435936779,-0.0007222505628784224
BLDG_CLASS_CODE,-0.010633593913581301,-0.022686060816572352,0.03677479144897601
ZIP_CODE_CODE,-0.009484375896820526,0.009975576720028051,0.00031847681614358185
ZONING_CODE,-0.019576935480187747,0.01959061982871749,0.002677067484796895
LOG_GROSS_SQFT,0.0037014039722858536,-0.05318617740165253,0.039596237144257154
LOG_LAND_AREA,-0.004240310735325958,-0.002719309943712453,-0.010636783841763458
NUM_BLDGS,0.010627313429239714,0.02222915469496694,-0.015216401508331104
UNITS,0.00302457919808842,-0.016542621213738003,-0.010603384028610018
COOP_APTS,0.005302760681406876,-0.028655491035627482,0.002980941860148903
BLD_STORY,0.0036904205735254435,0.001857051570359253,-0.019294904024543733
LOT_FRT,-0.00592494483039228,-0.013284314593798103,0.011095814518638511
LOT_DEP,0.003927180372382863,-0.0031555799173653403,-0.007193908835780337
BUILDING_AGE,-0.006452463470296959,-0.0023061270008977166,0.0036776180472337552
LOG_PYACTTOT,-0.013480099046534405,0.15833701444354,-0.11965351434150093
ASSESS_TREND,0.006528860689599357,0.12409612399565362,-0.09261420951128274
overvalued_2020,0.0733355527526732,0.11215324576784608,-0.24404820137632094
undervalued_2020,0.06655391566912436,0.02762693494294183,-0.16651295992238607
fairly_valued_2020,0.13370493915470583,0.0278515471531903,-0.2507546412492274
overvalued_2021,0.0500840441345424,0.0906672676247863,-0.17224290806060655
undervalued_2021,0.035680198951275284,0.054759554326083364,-0.11516388404522306
fairly_valued_2021,0.07776231480105697,0.06691112138901588,-0.178296063888777
overvalued_2022,0.01745363338471387,0.07319164512101042,-0.12034346442627093
undervalued_2022,0.02018347951264202,0.011331012741454519,-0.06964330601736965
fairly_valued_2022,0.07718810897285935,0.027809792592216,-0.12044811262317708
overvalued_2023,0.014242244814104412,0.09817968112491514,-0.10893104845454606
undervalued_2023,0.018419893419751174,0.010254812337318923,-0.022125307755566717
fairly_valued_2023,0.08722277003460305,0.006069772881248244,-0.10787859902868052
overvalued_2024,0.006960945002843118,-0.004084568131680366,-0.041863944146711726
undervalued_2024,0.023163689787328856,-0.16930260504928385,0.13187717508388858
fairly_valued_2024,0.18928239119241522,-0.15294091812995614,-0.032831255801220954
overvalued_2025,-0.12736555652778803,-0.27715670851483726,0.3096405294095897
undervalued_2025,-0.15222998262994372,-0.7841491037208899,0.8492221860464759
fairly_valued_2025,0.28511345287562556,-0.7347881610701967,0.486656688916936
LOG_FINACTTOT_FY2020,-0.011815349247203078,0.09475515701474528,-0.05302485947457299
LOG_FINACTTOT_FY2021,-0.024000768348572604,-0.041897397844798276,0.08496049378184013
LOG_FINACTTOT_FY2022,0.005730052929478926,-0.03907666638185273,0.04311132007384425
LOG_FINACTTOT_FY2023,-0.008660656859412154,-0.03616426149329252,0.05402228064841102
LOG_FINACTTOT_FY2024,-0.037415102068355,0.023390006250702967,0.009090440481322806
LOG_FINACTTOT_FY2025,0.03455432032491377,-0.04664810597035706,-0.0001997594429618075
