Model,Test Accuracy,Test F1 Macro,Test F1 Weighted,CV F1 Macro,CV F1 Std,Best Params
SGD ElasticNet,0.8394,0.8423,0.8393,0.8394,0.0026,{'alpha': 0.1}
SGD L2,0.8392,0.8419,0.8391,0.8404,0.0029,{'alpha': 0.01}
SGD L1,0.8261,0.8296,0.8261,0.7964,0.0121,{'alpha': 0.001}
