feature,fairly_valued,overvalued,undervalued
BORO_CODE,-2.9818008203536546,0.0,-0.040662091309536026
BLDG_CLASS_CODE,-7.755854346281633,-0.038732696121063476,0.0
ZIP_CODE_CODE,0.16143303186010408,0.0,0.026459839678748362
ZONING_CODE,2.082713928785152,0.0,0.0
LOG_GROSS_SQFT,45.25495344626676,5.294318138781267,5.667456001011144
LOG_LAND_AREA,2.772469501830627,0.0,0.0
NUM_BLDGS,0.0,0.0,0.0
UNITS,-444.79837629052327,0.0,0.0
COOP_APTS,-471.6713474019753,0.0,-0.024126421115253097
BLD_STORY,1.099313228876109,0.0,0.0
LOT_AREA,-38.68089929741221,0.0,0.0
SQFT_PER_UNIT,-51.35476089197478,0.0,-0.0034021576184368107
COVERAGE_RATIO,0.0,0.0,0.0
BUILDING_AGE,0.33423212321970613,0.0,0.0
BUILDING_ERA,0.0,-0.0003452849651925254,0.0
LOG_PYACTTOT,4.520362260858778,-3.768657819917334,-4.037966140456899
ASSESS_PER_SQFT,0.0,0.0,0.0
LOG_ASSESS_PER_SQFT,-10.970326699830238,4.292775996010589,4.283922466598644
LAND_TO_TOTAL,0.0,0.0,0.0
MKT_TO_ASSESS,-6.6854295401839,0.0,0.0
LOG_MKT_TO_ASSESS,-10.700629876503703,0.0,0.0
ASSESS_TREND,1.796479217854282,0.0,0.0
ASSESS_VOLATILITY,0.0,0.0,0.0
CONSISTENT_OVERVALUED,-2.595106879398324,0.0,-22.668395366166052
CONSISTENT_UNDERVALUED,-3.4125298510035034,-8.491107305048429,0.0
CONSISTENT_FAIR,2.3912255708823222,0.0,0.0
DOMINANT_CLASS,-2.308151719845235,0.0,0.0
ASSESS_AT_CAP,0.0,-0.005617817243938617,0.0
MKT_TREND,0.06754310060805323,0.0,0.0
MKT_VS_ASSESS_TREND_SPREAD,-1.9273884551804814,-0.029904150358372954,0.0
PROJ_FINACTTOT_FY2026,-54.04755947464916,0.0,0.0
PROJ_RATIO_FINACTTOT_FY2026,0.0,0.0,0.1412426385266421
PROJ_RESID_FINACTTOT_FY2026,-39.99470363447128,0.0,0.0
PROJ_FINACTLAND_FY2026,-104.16932900329911,0.0,0.0
PROJ_RATIO_FINACTLAND_FY2026,0.0,0.0,0.0
PROJ_RESID_FINACTLAND_FY2026,2.86867374951837,0.0,0.0
PROJ_FINMKTTOT_FY2026,-49.46786205353859,0.0039517754508782525,0.0
PROJ_RATIO_FINMKTTOT_FY2026,3.9982005625042554,0.0,0.0
PROJ_RESID_FINMKTTOT_FY2026,-11.737370706482972,0.0,0.0
overvalued_2020,-0.42328811523227167,0.0,1.7561154806251325
undervalued_2020,-1.084395119696835,1.6349253276914195,-2.599122191720038
fairly_valued_2020,0.36386579446148837,-0.062361205006596115,-3.0985914460290522
overvalued_2021,0.0,0.0,-0.3759385777248503
undervalued_2021,-0.5582429828785567,1.7014576444641578,0.0
fairly_valued_2021,0.0,-0.022500852332373086,-0.1026973518220118
overvalued_2022,-1.0327872613415474,0.0,-16.66737291661809
undervalued_2022,0.0,0.0,0.05904177915071496
fairly_valued_2022,0.0,-0.10877395706729105,0.0
overvalued_2023,-1.4833733088749659,0.0,-8.891947137529606
undervalued_2023,-1.5591658586341501,0.0,0.0
fairly_valued_2023,0.0,-0.08985224376354718,0.0
overvalued_2024,-1.2069125005659616,0.15647552472933468,-32.184329733842404
undervalued_2024,-2.4779583031525303,-27.676539199677542,1.5298417640516264
fairly_valued_2024,1.3727856408181869,0.0,1.6311314931251693
overvalued_2025,-1.4408633353711977,17.43751196067472,-75.65227268996912
undervalued_2025,-5.409630026080942,-73.16261587979284,19.67461407328077
fairly_valued_2025,4.798283504246023,19.85106720192856,23.238132102993745
LOG_FINACTTOT_FY2020,7.264530082751596,0.0,0.0
LOG_FINACTTOT_FY2021,4.304712228378309,0.0,0.0
LOG_FINACTTOT_FY2022,0.0,0.0,0.0
LOG_FINACTTOT_FY2023,2.7721971997827466,0.0,0.0
LOG_FINACTTOT_FY2024,0.8076435696149159,0.0,0.0
LOG_FINACTTOT_FY2025,4.400712189691621,-3.9826753599065885,-3.903112485581424
LOG_FINACTLAND_FY2020,0.0,0.0,0.09106494619616837
LOG_FINACTLAND_FY2021,0.0,0.0,0.0
LOG_FINACTLAND_FY2022,-2.3321643483523147,0.0,0.0
LOG_FINACTLAND_FY2023,0.0,0.0,0.0
LOG_FINACTLAND_FY2024,-1.6478144567460795,0.0,0.0
LOG_FINACTLAND_FY2025,-3.400472305842137,-0.014182704566751294,0.0
LOG_FINMKTTOT_FY2020,0.0,0.0,0.32406405954208606
LOG_FINMKTTOT_FY2021,0.0,0.0,0.0
LOG_FINMKTTOT_FY2022,0.0,0.0,0.0
LOG_FINMKTTOT_FY2023,0.0,0.0,0.0
LOG_FINMKTTOT_FY2024,0.0,0.0,0.0
LOG_FINMKTTOT_FY2025,0.0,0.0,-0.5068354498701049
ASSESS_YOY_FY2021,0.0,0.0,0.0
ASSESS_YOY_FY2022,1.1885974742793168,0.0,-0.011383277760455621
ASSESS_YOY_FY2023,0.0,0.0,0.0
